                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.80066,                0.97437,                 1.2557,                0.77685,                0.69929,                0.80176,                0.58009,                0.89588,                0.98704,                 1.3151,             0.00056086,             0.00056086,             0.00056086
                     36,                0.78782,                0.99154,                 1.2438,                 0.7739,                0.70997,                0.79844,                0.59166,                0.89455,                0.96743,                 1.2968,             0.00055261,             0.00055261,             0.00055261
                     37,                  0.789,                0.99527,                 1.2489,                0.82505,                0.72661,                0.81425,                0.61673,                0.86278,                 1.0137,                 1.2888,             0.00054437,             0.00054437,             0.00054437
                     38,                0.77472,                0.94452,                 1.2405,                0.79631,                0.68275,                0.78779,                0.59564,                0.87571,                 1.0066,                 1.2783,             0.00053612,             0.00053612,             0.00053612
                     39,                0.78157,                0.94884,                 1.2498,                0.71332,                0.79874,                0.81158,                0.61595,                0.83551,                 0.8897,                 1.2464,             0.00052787,             0.00052787,             0.00052787
                     40,                0.76646,                0.94016,                 1.2377,                0.74254,                0.73933,                0.78554,                0.59069,                0.86759,                0.96871,                  1.296,             0.00051963,             0.00051963,             0.00051963
                     41,                0.74528,                0.90514,                 1.2224,                0.74889,                0.79234,                0.82379,                 0.6192,                0.86148,                 0.8337,                 1.2694,             0.00051138,             0.00051138,             0.00051138
                     42,                0.74602,                0.87189,                 1.2133,                0.81283,                0.73798,                0.81412,                0.63243,                0.82608,                 0.8589,                 1.2497,             0.00050313,             0.00050313,             0.00050313
                     43,                0.74186,                0.89309,                 1.2114,                0.75023,                0.78371,                0.82172,                0.63342,                0.83417,                0.87577,                 1.2699,             0.00049489,             0.00049489,             0.00049489
                     44,                0.75745,                0.90061,                 1.2227,                 0.7869,                0.75053,                0.81062,                0.64185,                0.78238,                0.83286,                 1.2146,             0.00048664,             0.00048664,             0.00048664
